"request_id","start_date","end_date","agency_name","type_of_notice_description","category_description","short_title","selection_method_description","section_name","special_case_reason_description","pin","due_date","address_to_request","contact_name","contact_phone","email","contract_amount","contact_fax","additional_description_1","additional_description_2","additional_description_3","other_info_1","other_info_2","other_info_3","vendor_name","vendor_address","printout_1","printout_2","printout_3","document_links","event_date","building_name","street_address_1","street_address_2","city","state","zip_code"
"20230818114","2023-08-25T00:00:00.000","2023-08-25T00:00:00.000","Fire Department","Award","Goods","DIESEL GENERATOR - GENPOWERUSA GPR-J50-60T4iF-002","M/WBE Noncompetitive Small Purchase","Procurement",,"05723W0041001",,,,,,"500000",,,,,,,,"KEMLOT GLOBAL ASSOCIATES INC","648 DOROTHEA LN , ELMONT, NY 11003-4520",,,,,,,,,,,
"20230821111","2023-08-25T00:00:00.000","2023-08-25T00:00:00.000","Parks and Recreation","Award","Construction/Construction Services","Q021-122M CUNNINGHAM PARK LOWER REDWOOD PLAYGROUND SPRAY SHOWER AREA RECONSTRUCTION, QUEENS","M/WBE Noncompetitive Small Purchase","Procurement",,"84624W0002001",,,,,,"211456",,,,,,,,"PRESTIGE PAVERS OF NYC INC","162-48A 14TH AVENUE , WHITESTONE, NY 11357",,,,,,,,,,,
"20230821105","2023-08-25T00:00:00.000","2023-08-25T00:00:00.000","Citywide Administrative Services","Award","Goods","rental equipment for The City of New York.","Competitive Sealed Bids","Procurement",,"85723B0025007",,,,,,"1648360",,,,,,,,"MALVESE EQUIPMENT CO INC","1 HENRIETTA ST , HICKSVILLE, NY 11801",,,,,,,,,,,
"20230821104","2023-08-25T00:00:00.000","2023-08-25T00:00:00.000","Information Technology and Telecommunications","Award","Goods","TAIT COMMUNICATIONS AND L3HARRIS TECHNOLOGIES INC COMMUNICATIONS EQUIPMENT AND SERVICES","Intergovernmental Purchase","Procurement",,"85823O0003001",,,,,,"5402500",,,,,,,,"EASTERN COMMUNICATIONS LTD LLC","48-14 36TH ST , LONG ISLAND CITY, NY 11101-1918",,,,,,,,,,,
"20230821109","2023-08-25T00:00:00.000","2023-08-25T00:00:00.000","Mayor's Office of Criminal Justice","Award","Human Services/Client Services","Post-incarceration-Center for Community Alt- Citywide","Renewal","Procurement",,"00221P0025001R001",,,,,,"8175000",,"<p>This contract is a hybrid in-custody/in-community and comprehensive post-release services that will connect individuals leaving jail with mentors to help engage them in services upon release, connect individuals to longer-term comprehensive services, and provide ongoing support in the community. MOCJ and DOC will partner through the Municipal Division of Transitional Services Council to form a coordinated, comprehensive continuum of service delivery and care for individuals as they enter, stay, and leave jail.</p>",,,,,,"CENTER FOR COMMUNITY ALTERNATIVES INC.","115 East Jefferson Street Suite 300, Syracuse, NY 13202",,,,,,,,,,,
"20230821106","2023-08-25T00:00:00.000","2023-08-25T00:00:00.000","Citywide Administrative Services","Award","Construction/Construction Services","GC Requirements contract- Manhattan and BroNX","Renewal","Procurement",,"85621B8005KXLR001",,,,,,"17000000",,"<p>Renewal #1</p>",,,,,,"CONTRACT & HOSPITALITY SERVICES INC","192 Battery Ave , Brooklyn, NY 11209-7102",,,,,,,,,,,
"20230818119","2023-08-25T00:00:00.000","2023-08-25T00:00:00.000","Parks and Recreation","Award","Goods and Services","B290-C NOTICE OF AWARD","Competitive Sealed Bids","Procurement",,"CWB2022A",,,,,,"6600",,"<p>The City of New York Department of Parks & Recreation ('Parks') has awarded a concession to Mohammed Faruque Ahmad of 424 Lincoln Ave, Brooklyn, NY 11208 for the operation of one (1) Processing Cart or Processing Mobile Truck for the sale of Parks approved items at Public Place (Eldert Lane btwn Liberty Ave & Glenmore Ave), Brooklyn. The concession, which was solicited by a Request for Bids, will operate pursuant to a permit agreement for one (1) five (5) year term. Compensation to the City will be as follows: Year 1: $1,200; Year 2: $1,200; Year 3: $1,300; Year 4: $1,400; Year 5: $1,500.</p>",,,,,,"Mohammed F. Ahmad",,,,,,,,,,,,
"20230818117","2023-08-25T00:00:00.000","2023-08-25T00:00:00.000","Administration for Children's Services","Award","Services (other than human services)","Field Operations Specialist - IT Technology Rooms 2","M/WBE Noncompetitive Small Purchase","Procurement",,"06823W0048001",,,,,,"171500",,,,,,,,"INFOPEOPLE CORPORATION","450 7th Ave  Ste 1106 , New York, NY 10123-0105",,,,,,,,,,,
"20230818113","2023-08-25T00:00:00.000","2023-08-25T00:00:00.000","Parks and Recreation","Award","Goods","Award of Concession Agreement","Competitive Sealed Bids","Procurement",,"M10-81-WD-C",,,,,,"425000",,"<p>The City of New York Department of Parks & Recreation ('Parks') has awarded a concession to Nandita, Inc., of 89-12 169th St, 1st FL, for the operation of a mobile unit for the sale of Parks approved items at Central Park/West 81 St and West Drive, Manhattan. The concession, which was solicited by a Request for Bids, will operate pursuant to a permit agreement for one (1) five (5) year term. </p>",,,,,,"Nandita, Inc.",,,,,,,,,,,,
"20230821110","2023-08-25T00:00:00.000","2023-08-25T00:00:00.000","Police Department","Award","Construction Related Services","Design Services for 108th PCT Building Heating System","M/WBE Noncompetitive Small Purchase","Procurement",,"05623W0014001",,,,,,"161530",,,,,,,,"CABEZAS ENGINEERING PLLC","5510 County Road 14 , Alpine, NY 14805",,,,,,,,,,,
"20230821108","2023-08-25T00:00:00.000","2023-08-25T00:00:00.000","Dept. of Social Svcs/Human Resources Administration","Award","Human Services/Client Services","NYNY III Scatter Site Supportive Housing - Service Area 6","Competitive Sealed Proposals/Pre-Qualified List","Procurement",,"06921P0332006",,,,,,"20005075",,"<p>As part of the New York/New York III Supportive Housing agreement signed in November 2005 between Mayor Michael R. Bloomberg and Governor George E. Pataki, the City of New York and the State of New York agreed to develop 9,000 new units of supportive housing in New York City over the next ten (10) years. The HIV/AIDS Services Administration (HASA) is responsible for 1,000 of these units. The Department of Social Services (DSS)/New York City Human Resources Administration (HRA) (Agency) is seeking qualified vendors to operate and maintain approximately 350 units of scatter- site permanent supportive housing for HASA clients under the New York/New York III program. Supportive housing is a pairing of rental assistance and supportive services in either a congregate building constructed or renovated for this purpose or in scattered-site apartments acquired for the purposes of housing and serving the clients. This housing model provides case management and other related social service supports, to provide clients with permanent, stable housing and maximize their access to, and participation in, health and behavioral health treatment. </p>",,,,,,"INSTITUTE FOR COMMUNITY LIVING, INC.","125 BROAD STREET 3RD FLOOR, NEW YORK, NY 10004",,,,,,,,,,,
"20230818115","2023-08-25T00:00:00.000","2023-08-25T00:00:00.000","Citywide Administrative Services","Award","Services (other than human services)","MWBE Marketing Campaign","M/WBE Noncompetitive Small Purchase","Procurement",,"85624W0007001",,,,,,"997500",,"<p>Mayor's office would like to develop a citywide recruitment campaign to entice prospective employees to join the New York City workforce. The development includes the conceptualization, design, creation, implementation, and circulation of recruitment-focused creative content via social media and print. The campaign will include print/radio/multimedia ads, which we will require advisement for ad placement, a video produced by City Halls creative communications team featuring City employees, several social media engagements, partnerships with local elected officials and community-based organizations, and hiring/job fairs.</p>",,,,,,"VENUS MEDIA LLC","875 Washington Street , New York, NY 10014",,,,,,,,,,,
"20230821112","2023-08-25T00:00:00.000","2023-08-25T00:00:00.000","Aging","Award","Services (other than human services)","Document Translation Services","M/WBE Noncompetitive Small Purchase","Procurement",,"12524W0001001",,,,,,"99000",,"<p>This solicitation is being made pursuant to the M/WBE Noncompetitive Small Purchase Method, Section 3-08 of the New York City Procurement Policy Board (PPB) Rules, this procurement is exclusively for the City Certified Minority and Woman Owned Business (M/WBEs). Contracts awarded under this method may not exceed $1,000,000, inclusive of any and all change orders, overruns, amendments, renewals and extensions.<br><br>To provide Document Translation Services for New York City Department for the Aging. New York City Local Law 30 (LL30) on language access requires that most commonly distributed documents be translated into 10 designated citywide languages. NYC Aging produces materials on multiple services and critical initiatives for print and digital distribution that must be accessible to limited English speakers in the LL30 languages and beyond. These materials range from guides to NYC Aging program and services; resources for caregivers; informed consent form; and flyers. The vendor will translate these materials primarily from English into the specified languages and deliver in the requested design format.</p>",,,,,,"LM LANGUAGE SERVICES INC","103 Carnegie Center Suite #300, Princeton, NJ 08540",,,,,,,,,,,
"20230821113","2023-08-25T00:00:00.000","2023-08-25T00:00:00.000","Health and Mental Hygiene","Award","Goods","BRAND SPECIFIC PURCHASE OF RITTER 204 MANUAL EXAM TABLES","M/WBE Noncompetitive Small Purchase","Procurement",,"81623W0047002",,,,,,"42832.8",,,,,,,,"CONNETQUOT WEST INC","200 Executive Dr, Unit D , Edgewood, NY 11717",,,,,,,,,,,
